places,7z7dXts3aC,TlHUDWKomQ,Ms3YVyrHDY,PnYqb1eVNN,ZepZnkJ1xb,kCUyw2g5hJ,I5L0G6McQv,AAw378nAWm,UgeHPjP3KW,R3hFaRnYlw,wIgfXlA2PJ,nck94CG0VE,zhJ1YTgzve,CiQUtsBqDh,uHqzgzWyWa
RikovbyDNm,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1
jsBHY6yy0H,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
WkXldk0zqP,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0
6vwlMUoQHC,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
qzknzFsH7g,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1
4PWS5AlhBS,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
AhoMtdIvVQ,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0
67G7wVmxiH,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1
tgbWcG5bcP,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0
sx23GQkGS9,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0
uCg01ne0rU,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0
mqTLx15zKL,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
olBnrE0XAv,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1
hIAC9EYb18,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1
zYeJ9hXCmV,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1
hlmD7YXRSZ,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
dFXSLkA5GH,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0
FRzeo68LSt,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1
7MZDYdeQ90,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1
ar0HuYZEJq,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0
t4JVRsh7F2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
uocGLUaNid,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
uPDdTM1vjO,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1
HpJkHNZ5u8,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1
nz1YWNPJHA,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0
